"celebrates","Who.do.you.celebrate.the.Fourth.of.July.with.","watches_fireworks","what_do_you_wear","celebration_location","Describe.America.in.three.words","Why.do.you.not.celebrate.the.Fourth.of.July.","Describe.America.in.3.words","gender","age_group","race","is_hispanic","region","Democrat_party_opinion","Republican_party_opinion","Donald_Trump_opinion","id","trump_support","democrat_support","republican_support","three_words","weight","political_weight","devices","devices_value"
"Yes","Family","Always","Solid white clothing;Solid blue clothing","Outdoors","Diverse opinionated beautiful","","","Female","25-34","White","No","West",2,4,3,1,"Neutral","Disapprove","Approve","Diverse opinionated beautiful",0.970541816645894,0.0124293951592426,"Bang Snaps",0
"Yes","Family;Friends","Always","Jeans","Outdoors","Freedom guns oil","","","Male","18-24","Black","No","West",2,3,3,2,"Neutral","Disapprove","Neutral","Freedom guns oil",2.29245760758382,0.0389120944571167,"Bang Snaps",1
"Yes","Family;Friends","Always","None of the above","Both","Goddamn Fucking Shitshow","","","Male","18-24","White","No","Southeast",3,1,1,3,"Disapprove","Neutral","Disapprove","Goddamn Fucking Shitshow",0.011278873191137,0.00406720750804197,"Bang Snaps",0
"No","","","None of the above","","","Political reasons","Misled afraid broken","Female","45-54","White","No","Southeast",2,1,1,4,"Disapprove","Disapprove","Disapprove","Misled afraid broken",0.659746327495068,0.342234925952769,"Bang Snaps",0
"Yes","Family;Friends;With strangers","Rarely","None of the above","Outdoors","Land of free","","","Male","35-44","White","No","Northeast",3,2,2,5,"Disapprove","Neutral","Disapprove","Land of free",1.81676012865678,1.39939319748687,"Bang Snaps",0
"Yes","Family","Rarely","Sunscreen","Both","My home forever","","","Male","55+","White","No","Southeast",4,1,1,6,"Disapprove","Approve","Disapprove","My home forever",0.352096187828501,0.130413002400747,"Bang Snaps",0
"Yes","Family","Usually","Solid red clothing;Jeans","Outdoors","Diverse struggling divided","","","Female","25-34","Multiple Races","Yes","West",4,1,1,7,"Disapprove","Approve","Disapprove","Diverse struggling divided",2.03173271851236,2.46216551578708,"Bang Snaps",1
"Yes","Family","Usually","Jeans","Indoors","Racist homophobic poor","","","Male","55+","White","No","Southwest",4,1,1,8,"Disapprove","Approve","Disapprove","Racist homophobic poor",0.667561650669326,0.891543085059496,"Bang Snaps",0
"Yes","Family;Friends;With strangers","Usually","None of the above","Both","United States America","","","Male","18-24","Asian","No","Midwest",3,3,3,9,"Neutral","Neutral","Neutral","United States America",0.168703203221685,0.0344381995358698,"Bang Snaps",1
"No","","","None of the above","","","Don't feel motivated to celebrate;No one to celebrate with","Split Polarized Confused","Male","25-34","Other","Yes","Midwest",1,1,1,10,"Disapprove","Disapprove","Disapprove","Split Polarized Confused",0.972196271392192,1.59173085832685,"Bang Snaps",0
